Day,F0_TG,F0_VN
1/5,0,3
2/5,0,8
3/5,0,10
4/5,0,3
5/5,0,18
6/5,0,64
7/5,0,41
8/5,0,80
9/5,0,92
10/5,0,125
11/5,0,71
12/5,0,82
13/5,0,73
14/5,0,104
15/5,0,165
16/5,0,187
17/5,0,181
18/5,0,152
19/5,0,175
20/5,0,114
21/5,0,131
22/5,0,143
23/5,0,129
24/5,0,184
25/5,0,444
26/5,0,235
27/5,0,227
28/5,0,253
29/5,0,277
30/5,0,250
31/5,0,211
1/6,0,250
2/6,0,229
3/6,0,231
4/6,0,219
5/6,1,246
6/6,0,201
7/6,0,211
8/6,0,171
9/6,0,381
10/6,2,211
11/6,0,185
12/6,10,259
13/6,0,293
14/6,14,266
15/6,0,398
16/6,0,414
17/6,13,503
18/6,0,259
19/6,3,471
20/6,0,300
21/6,2,267
22/6,5,230
23/6,0,217
24/6,9,279
25/6,8,845
26/6,0,164
27/6,0,359
28/6,0,389
29/6,22,361
30/6,0,441
1/7,38,693
2/7,0,527
3/7,12,914
4/7,29,876
5/7,11,1089
6/7,0,1019
7/7,18,997
8/7,0,1307
9/7,34,1616
10/7,75,1884
11/7,46,1945
12/7,118,2367
13/7,0,2296
14/7,115,2924
15/7,0,3379
16/7,146,3321
17/7,0,3705
18/7,31,5887
19/7,0,4175
20/7,133,4789
21/7,65,5343
22/7,68,6164
23/7,95,7295
24/7,220,9225
25/7,218,7525
26/7,201,7859
27/7,63,7991
28/7,30,6555
29/7,0,7593
30/7,242,8622
31/7,123,8620
1/8,0,8597
2/8,79,7445
3/8,0,8377
4/8,0,7618
5/8,169,7239
6/8,253,8320
7/8,165,7333
8/8,0,9684
9/8,251,9323
10/8,100,8385
11/8,177,8752
12/8,212,9653
13/8,0,9150
14/8,461,9710
15/8,209,9574
16/8,152,8644
17/8,411,9595
18/8,282,8644
19/8,478,10639
20/8,367,10650
21/8,589,13417
22/8,709,11346
23/8,459,10383
24/8,93,10797
25/8,319,12093
26/8,354,11569
27/8,312,17409
28/8,241,12097
29/8,155,12752
30/8,221,14219
31/8,214,12591
1/9,194,11429
2/9,290,13186
3/9,154,14894
4/9,148,9521
5/9,133,13101
6/9,234,12477
7/9,183,14193
8/9,171,12663
9/9,115,12401
10/9,156,13306
11/9,147,11927
12/9,628,12017
13/9,161,11168
14/9,102,10496
15/9,93,10583
16/9,81,10482
17/9,118,11506
18/9,197,9360
19/9,102,10025
20/9,211,8668
21/9,105,11687
22/9,89,11525
23/9,67,9465
24/9,112,8530
25/9,81,9682
26/9,63,10011
27/9,58,9342
28/9,38,8000
29/9,68,8744
30/9,49,7937
1/10,71,6941
2/10,36,5477
3/10,13,5367
4/10,52,5382
5/10,59,4360
6/10,72,4356
7/10,56,4147
8/10,74,4773
9/10,44,4512
10/10,64,3513
11/10,67,3617
12/10,20,2939
13/10,74,3458
14/10,72,4147
15/10,70,3789
16/10,121,3211
17/10,46,3175
18/10,94,3159
19/10,79,3027
20/10,65,3635
21/10,82,3618
22/10,61,3977
23/10,156,3361
24/10,78,4028
25/10,111,3620
26/10,121,3592
27/10,127,4404
28/10,139,4876
29/10,75,4889
30/10,223,5224
31/10,222,5504
